name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,activity_zone_id,production,attraction,activity_location_tab
,0,65280896.0,,,0.0,,tertiary,0.0,-122.43012350000001,37.76441629999999,,,,,0.0,0.0,
,1,65280905.0,,,0.0,,residential,0.0,-122.4300916,37.7640853,,,,22,10.0,10.0,residential
,2,65281164.0,traffic_signals,,1.0,,residential,0.0,-122.42591019999999,37.774604499999995,,,,3,10.0,10.0,residential
,3,65281218.0,,,0.0,,primary,0.0,-122.42332549999999,37.771865600000005,,,,,0.0,0.0,
,4,65281253.0,,,0.0,,secondary,0.0,-122.4198591,37.7703896,,,,,0.0,0.0,
,5,65284974.0,traffic_signals,,1.0,,residential,0.0,-122.4260983,37.7755395,,,,3,10.0,10.0,residential
,6,65288752.0,,,0.0,,residential,0.0,-122.419882,37.773281,,,,5,10.0,10.0,residential
,7,65288754.0,,,0.0,,residential,0.0,-122.4203966,37.7728747,,,,10,10.0,10.0,residential
,8,65288759.0,,,0.0,,residential,0.0,-122.4210424,37.772375,,,,10,10.0,10.0,residential
,9,65289005.0,,,0.0,,tertiary,0.0,-122.43171559999999,37.76431710000001,,,,,0.0,0.0,
,10,65289010.0,,,0.0,,residential,0.0,-122.43156259999999,37.762712799999996,,,,22,10.0,10.0,residential
,11,65292019.0,,,0.0,,tertiary,0.0,-122.42676370000001,37.768997399999996,,,,,0.0,0.0,
,12,65292024.0,,,0.0,,residential,0.0,-122.42149350000001,37.769338,,,,15,10.0,10.0,residential
,13,65292028.0,,,0.0,,tertiary,0.0,-122.42230900000001,37.7692886,,,,,0.0,0.0,
,14,65292030.0,,,0.0,,secondary,0.0,-122.4244831,37.769157,,,,,0.0,0.0,
,15,65292398.0,,,0.0,,primary,0.0,-122.4239805,37.7713479,,,,,0.0,0.0,
,16,65292403.0,,,0.0,,secondary,0.0,-122.4238213,37.7697876,,,,,0.0,0.0,
,17,65292682.0,traffic_signals,,1.0,,primary,0.0,-122.4263994,37.7696323,6.0,,,,0.0,0.0,
,18,65292685.0,stop,,0.0,,residential,0.0,-122.42679720000001,37.7706675,,,,8,10.0,10.0,residential
,19,65292687.0,,,0.0,,residential,0.0,-122.4269862,37.7715998,,,,8,10.0,10.0,residential
,20,65292689.0,,,0.0,,residential,0.0,-122.42707890000001,37.772057200000006,,,,8,10.0,10.0,residential
,21,65292690.0,,,0.0,,residential,0.0,-122.42717420000001,37.772527399999994,,,,8,10.0,10.0,residential
,22,65292691.0,,,0.0,,residential,0.0,-122.4272709,37.7730066,,,,8,10.0,10.0,residential
,23,65292692.0,,,0.0,,residential,0.0,-122.42736380000001,37.773466799999994,,,,3,10.0,10.0,residential
,24,65292693.0,,,0.0,,residential,0.0,-122.4274578,37.7739324,,,,3,10.0,10.0,residential
,25,65292695.0,traffic_signals,,1.0,,residential,0.0,-122.4275514,37.7743958,,,,3,10.0,10.0,residential
,26,65292697.0,,,0.0,,residential,0.0,-122.4276457,37.774863200000006,,,,3,10.0,10.0,residential
,27,65292699.0,traffic_signals,,1.0,,residential,0.0,-122.42773999999999,37.7753305,,,,3,10.0,10.0,residential
,28,65292700.0,,,0.0,,residential,0.0,-122.4278338,37.7757948,,,,3,10.0,10.0,residential
,29,65292828.0,,,0.0,,tertiary,0.0,-122.429441,37.7644586,,,,,0.0,0.0,
,30,65292830.0,turning_circle,,0.0,,residential,0.0,-122.42940949999999,37.764132000000004,,,,23,10.0,10.0,residential
,31,65293870.0,,,0.0,,residential,0.0,-122.42658519999999,37.7657758,,,,18,10.0,10.0,residential
,32,65294163.0,traffic_signals,,1.0,,primary,0.0,-122.4269057,37.7690276,,,,,0.0,0.0,
,33,65294171.0,traffic_signals,,1.0,,residential,0.0,-122.42663629999998,37.7678819,4.0,,,13,10.0,10.0,residential
,34,65294178.0,,,0.0,,residential,0.0,-122.4267081,37.76706420000001,,,,18,10.0,10.0,residential
,35,65294188.0,,,0.0,,residential,0.0,-122.4266309,37.766262100000006,,,,18,10.0,10.0,residential
,36,65294202.0,traffic_signals,,1.0,,tertiary,0.0,-122.4264747,37.7646386,0.0,,,,0.0,0.0,
,37,65294209.0,,,0.0,,residential,0.0,-122.4264084,37.763949700000005,,,,23,10.0,10.0,residential
,38,65294216.0,traffic_signals,,1.0,,tertiary,0.0,-122.42631899999999,37.763020700000006,16.0,,,,0.0,0.0,
,39,65294225.0,,,0.0,,residential,0.0,-122.4262355,37.762161600000006,,,,23,10.0,10.0,residential
,40,65294542.0,,,0.0,,residential,0.0,-122.4261318,37.762632200000006,,,,23,10.0,10.0,residential
,41,65294547.0,,,0.0,,tertiary,0.0,-122.42636929999999,37.7635426,,,,,0.0,0.0,
,42,65296275.0,,,0.0,,residential,0.0,-122.4369153,37.770334600000005,,,,6,10.0,10.0,residential
,43,65296309.0,traffic_signals,,1.0,,residential,0.0,-122.4358192,37.7690611,,,,11,10.0,10.0,residential
,44,65296310.0,traffic_signals,,1.0,,tertiary,0.0,-122.4356482,37.7673365,,,,,0.0,0.0,
,45,65296312.0,,,0.0,,secondary,0.0,-122.435571,37.7665363,,,,,0.0,0.0,
,46,65296314.0,traffic_signals,,1.0,,secondary,0.0,-122.4354937,37.765735600000006,,,,,0.0,0.0,
,47,65296316.0,,,0.0,,residential,0.0,-122.4354207,37.7649784,,,,16,10.0,10.0,residential
,48,65296319.0,,,0.0,,residential,0.0,-122.43533909999998,37.7641325,,,,21,10.0,10.0,residential
,49,65296321.0,,,0.0,,secondary,0.0,-122.43527560000001,37.76347,,,,,0.0,0.0,
,50,65296324.0,traffic_signals,,1.0,,secondary,0.0,-122.4352027,37.76271,9.0,,,,0.0,0.0,
,51,65298396.0,,,0.0,,residential,0.0,-122.420901,37.762625,,,,25,10.0,10.0,residential
,52,65298398.0,,,0.0,,tertiary,0.0,-122.420813,37.761747,,,,,0.0,0.0,
,53,65299264.0,,,0.0,,residential,0.0,-122.43025890000001,37.7694026,,,,12,10.0,10.0,residential
