poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,residential,"1,000 Sq. Ft. GFA",1,0.1,0.48,1,1
1,,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
2,civic,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
3,college,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
4,social_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
5,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,1,1
6,parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,1,1
7,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
8,cottage,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
9,school,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,1
10,office,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,1
11,mixed_use,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
12,fast_food,"1,000 Sq. Ft. GFA",1,0.1,14.13,1,1
13,bar,"1,000 Sq. Ft. GFA",1,0.1,7.8,1,1
14,detached,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
15,demolished,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
16,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
17,pub,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
18,studio,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
19,yes,"1,000 Sq. Ft. GFA",1,1.15,1.15,1,1
20,hospital,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
21,terrace,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
22,industrial,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
23,house,"1,000 Sq. Ft. GFA",1,0.1,0.48,1,1
24,theatre,"1,000 Sq. Ft. GFA",1,0.1,6.17,1,1
25,car_wash,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
26,retail,"1,000 Sq. Ft. GFA",1,0.1,6.84,1,1
27,library,"1,000 Sq. Ft. GFA",1,8.16,0.1,1,1
28,elevator,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
29,restaurant,"1,000 Sq. Ft. GFA",1,0.1,7.8,1,1
30,garage,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
31,cafe,"1,000 Sq. Ft. GFA",1,0.1,36.31,1,1
32,government,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
33,nightclub,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
34,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.48,1,1
35,social_facility,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
36,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
37,community_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
38,bank,"1,000 Sq. Ft. GFA",1,12.13,0.1,1,1
39,construction,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
40,public,"1,000 Sq. Ft. GFA",1,4.79,0.1,1,1
41,church,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
42,car_rental,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
43,fire_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
44,commercial,"1,000 Sq. Ft. GFA",1,0.1,3.81,1,1
45,swingerclub,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
46,cinema,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
