activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count,total_production,total_attraction
1,A1,-122.43627726989794,37.77436703163264,"POLYGON ((-122.43827 37.773089999999996,-122.43827 37.77601,-122.43411 37.77601,-122.43411 37.773089999999996,-122.43827 37.773089999999996))",POINT (-122.43627726989794 37.77436703163264),186,706.9206014406974,673.7656046266175
2,A2,-122.43183930090909,37.77445543090911,"POLYGON ((-122.43411 37.773089999999996,-122.43411 37.77601,-122.42995 37.77601,-122.42995 37.773089999999996,-122.43411 37.773089999999996))",POINT (-122.43183930090909 37.77445543090911),209,678.8045290871677,679.9011347508989
3,A3,-122.42772110807694,37.774662997692275,"POLYGON ((-122.42995 37.773089999999996,-122.42995 37.77601,-122.42579 37.77601,-122.42579 37.773089999999996,-122.42995 37.773089999999996))",POINT (-122.42772110807694 37.774662997692275),247,806.1762467889218,680.4123968453441
4,A4,-122.42393653678758,37.77432450984458,"POLYGON ((-122.42579 37.773089999999996,-122.42579 37.77601,-122.42163000000001 37.77601,-122.42163000000001 37.773089999999996,-122.42579 37.773089999999996))",POINT (-122.42393653678758 37.77432450984458),178,682.616337669741,735.0703154129347
5,A5,-122.4202144296296,37.77448314814816,"POLYGON ((-122.42163000000001 37.773089999999996,-122.42163000000001 37.77601,-122.41747000000001 37.77601,-122.41747000000001 37.773089999999996,-122.42163000000001 37.773089999999996))",POINT (-122.4202144296296 37.77448314814816),44,693.1617406110015,791.8655934210367
6,B1,-122.4361198949494,37.77163391279462,"POLYGON ((-122.4382657 37.77016999999999,-122.4382657 37.773089999999996,-122.4341057 37.773089999999996,-122.4341057 37.77016999999999,-122.4382657 37.77016999999999))",POINT (-122.4361198949494 37.77163391279462),285,705.2320862223362,725.3880896974979
7,B2,-122.43196510981599,37.77146765981595,"POLYGON ((-122.4341057 37.77016999999999,-122.4341057 37.773089999999996,-122.4299457 37.773089999999996,-122.4299457 37.77016999999999,-122.4341057 37.77016999999999))",POINT (-122.43196510981599 37.77146765981595),311,783.6850754142082,791.9634051524608
8,B3,-122.42838609144135,37.77156509279279,"POLYGON ((-122.4299457 37.77016999999999,-122.4299457 37.773089999999996,-122.4257857 37.773089999999996,-122.4257857 37.77016999999999,-122.4299457 37.77016999999999))",POINT (-122.42838609144135 37.77156509279279),214,561.1849314145472,580.3007536442944
9,B4,-122.42390685454546,37.77143777878788,"POLYGON ((-122.4257857 37.77016999999999,-122.4257857 37.773089999999996,-122.4216257 37.773089999999996,-122.4216257 37.77016999999999,-122.4257857 37.77016999999999))",POINT (-122.42390685454546 37.77143777878788),149,602.0002288004158,715.6103107053248
10,B5,-122.4201830813954,37.7718124860465,"POLYGON ((-122.4216257 37.77016999999999,-122.4216257 37.773089999999996,-122.41746570000001 37.773089999999996,-122.41746570000001 37.77016999999999,-122.4216257 37.77016999999999))",POINT (-122.4201830813954 37.7718124860465),75,780.2411342334659,786.5158804537731
11,C1,-122.43670537974144,37.76873957931035,"POLYGON ((-122.4382657 37.76724999999999,-122.4382657 37.77016999999999,-122.4341057 37.77016999999999,-122.4341057 37.76724999999999,-122.4382657 37.76724999999999))",POINT (-122.43670537974144 37.76873957931035),225,595.1021379307838,624.1908415491453
12,C2,-122.43188356172844,37.76862373703704,"POLYGON ((-122.4341057 37.76724999999999,-122.4341057 37.77016999999999,-122.4299457 37.77016999999999,-122.4299457 37.76724999999999,-122.4341057 37.76724999999999))",POINT (-122.43188356172844 37.76862373703704),233,416.99632169498875,511.9332579492604
13,C3,-122.42789749160309,37.76839266717559,"POLYGON ((-122.4299457 37.76724999999999,-122.4299457 37.77016999999999,-122.4257857 37.77016999999999,-122.4257857 37.76724999999999,-122.4299457 37.76724999999999))",POINT (-122.42789749160309 37.76839266717559),119,574.232799427123,1021.0942362062975
14,C4,-122.42406555809133,37.76871459917011,"POLYGON ((-122.4257857 37.76724999999999,-122.4257857 37.77016999999999,-122.4216257 37.77016999999999,-122.4216257 37.76724999999999,-122.4257857 37.76724999999999))",POINT (-122.42406555809133 37.76871459917011),229,786.7408827939526,903.959393437895
15,C5,-122.41958888740736,37.76843976814816,"POLYGON ((-122.4216257 37.76724999999999,-122.4216257 37.77016999999999,-122.41746570000001 37.77016999999999,-122.41746570000001 37.76724999999999,-122.4216257 37.76724999999999))",POINT (-122.41958888740736 37.76843976814816),127,540.9082214481601,661.6665301384256
